headline,is_sarcastic,emotion
Blind artist paints stunning landscapes by touch,0,surprise
Couples rediscover peace in shared silence,0,relaxation
Police rescue kitten trapped in vending machine,0,surprise
midlife obesity may speed up alzheimer's,0,concern
Transparency update reveals nothing again,0,contempt
Office implements no alarm policy for a week,1,relaxation
"Yep, Bears Losing Homes to Thaw",1,concern
Forum Enhances Awareness About Tech Ethics,0,reflection
"Amazing, misdialed callpure joy",1,excitement
Airline introduces nap class for relaxed travelers,1,relaxation
"Superb, Dancers Faking Their Routines",1,admiration
Students create local sustainability initiative,0,empowerment
Towns Oldest Resident Runs Marathon at 90,0,admiration
"Sensational, Delivery Delays Ruining Plans",1,anger
"Wow, elevator stuck on top floorso exciting",1,anticipation
"Incredible, my computer froze during submission",1,excitement
Support Groups Help Families Navigate Difficult Times,0,hope
"So we learned to connect the world, but forgot how to talk",1,reflection
postal service: 'and wait until you cocksuckers see what we do with wednesdays',1,humor
Shadow Detaches and Waves Goodbye,0,curiosity
Cat Therapist Helps Felines Overcome Zoom Fatigue,0,humor
Locals enjoy lazy river and slower heartbeats,0,relaxation
Rising energy prices burden citizens,0,somber irony
Passed final exams with top distinction,0,excitement
Forgotten Password: Locking Yourself Out is Peak Fun,1,excitement
Anticipating first paycheck from new job,0,anticipation
"Wars Rage On, Peace Myths Fade",1,fear
"Scientist Forgets Formula, Nobel-Worthy Oops",1,embarrassment
Derisive Smirks at Media's 'Unbiased' Reporting,1,contempt
Dog Shelter Heroically Washes Own Paws Before Feeding Dogs,1,sincerity
Legal settlement reached after lengthy trial,0,drama
"School Axes Music Classes, Parents Enraged at Decision",0,anger
Local Teens Spend Weekend Cleaning Park,0,sincerity
Crystal Vibrates at Exact Frequency,0,curiosity
"App Crashes Once, Users Sob Uncontrollably",1,sadness
"How Nice, Celebrities Dodging Taxes While We Pay Up",1,anger
Event photographer trips while taking group photo,0,embarrassment
Teenagers launch anti-bullying campaign in schools,0,empowerment
Childhood friend called to check inheart warmed,0,love
Park Installs Pay-To-Sit Benches,0,disapproval
Amazing! Boss says good job and actually means it,1,surprise
"Partnership Formed, Ends in Lawsuit",1,neutral
Local school introduces student-led clubs,0,empowerment
Family holiday triphearts full,0,love
Fierce competition drives athletes to extraordinary feats,0,intensity
"Oh Sure, 'Hope' Springs Eternal for That Failing Economy",1,hope
Romantic surprise breakfast by partner,0,love
"Vets Reintegrate Seamlessly, Wars Forgotten",1,hope
"Amazing, emotional growth comes with coffee stains",1,reflection
"Fantastic, drought worsens agricultural output",1,somber irony
Political leader addresses controversy publicly,0,drama
Rain Falls Only on One Car,1,curiosity
Solar Power Grids Light Up Underserved Villages,0,hope
Lawyer Defends Innocent Clients Pro Bono,0,admiration
"Elderly Residents Face Power Cuts, Neighbors Step In",0,concern
Students Help Clean Local River,0,sincerity
Lost Ship Reappears After 80 Years,0,curiosity
Customers Tip Generously,1,contempt
Received first paycheck from new job,0,excitement
"Vaccine Hesitancy Persists, Health Officials Alarmed",0,concern
"Volcano barely active, town evacuates instantly",1,intensity
How Approving: Politician's 'Honest' Flip-Flopping,1,disapproval
Experts assure us everythings manageable  sure,1,fear
"Billionaire Buys Lake, Wonders Why Fish Protest",1,curiosity
Great Appreciation for the Company That 'Appreciates' Layoffs,1,admiration
"Fabulous, Glaciers Disappearing Before Our Eyes",1,concern
"Encore, Reviving Economies Magically",1,hope
"Oh yes, more surprise assignmentsadrenaline spike",1,anticipation
Women launch public speaking workshops,0,empowerment
"Wow, accidental online purchase, pure thrill",1,excitement
"Authors Misprint Book, Literary Triumph for Sure",1,embarrassment
Free Speech Advocate Silences Opposing Views,1,somber irony
"Amazing, traffic chaospeak drama",1,somber irony
Blind Skepticism About 'Solid' Evidence,1,disapproval
Tracker Logs Bathroom Breaks,0,disapproval
Tender Sentimentality for 'Iconic' Forgotten Passwords,1,nostalgia
"Oh Joy, 'Eagerly' Awaiting Another Politician's Promise",1,anticipation
City Approves 20-Story Parking Garage Over Park,0,disapproval
Flood-affected communities face long-term recovery,0,somber irony
"You Bet, Guides Losing Tourists",1,admiration
"Fantastic, love quotes on every product",1,love
Builder Covers Wetland with Mall,0,disapproval
Educational Reform Empowers Students by Adding More Standardized Tests,1,empowerment
Furious workers lock factory gates in protest,0,anger
Towns Fountain Starts Spouting Chocolate Syrup,0,surprise
Factory Safety Violations Ignored Again,0,disapproval
Yacht Builder Designs Luxury Vessels,0,admiration
Sock Hops Dance Parties for Teens Throwback Fun,0,nostalgia
Study: Laughter Makes Meetings Slightly Bearable,0,humor
"Market slightly sliding, investors scream",1,intensity
Watched sunrise from mountain top,0,excitement
"Amazing, misdialed call, thrilling",1,excitement
Breakthrough in Renewable Materials Reduces Plastic Waste,0,hope
"Office implements humorous empowerment week, employees excel",1,empowerment
Teen Heroically Paints Only Half the Playground,1,sincerity
Citizens raise awareness about climate action.,0,solidarity
Waiting eagerly for marathon race day,0,anticipation
"Striking Docs, Patients Heal Solo",1,activism
Global Partnerships Tackle Smuggling Networks,0,activism
"Marathon finisher waves before crossing line, trips",0,embarrassment
"Man Wins Lottery, Buys Comfy Chair, Relaxing",1,relaxation
Writers Guild Stands United Against Unfair Contracts,0,solidarity
"Ironically, peace arrives once you stop chasing it",1,reflection
Panic spreads as power grid experiences major failure,0,fear
Locals revisit 80s fashion and immediately regret it,1,nostalgia
Novelist Captures Human Spirit,0,admiration
Corporate Whistleblower Exposes CEOs Secrets,0,drama
Dentist Restores Smiles in Underserved Areas,0,admiration
"Glorious, Artists Copying Styles Shamelessly",1,admiration
Locals mark throwback day by complaining about everything old,1,nostalgia
Every pause is an opportunity for insight,0,reflection
Volunteer Doctor Travels to Remote Villages,0,sincerity
Adopted kitten playingheart melted,0,love
argentina tightens security in anticipation of numerous criminals arriving for g20,1,humor
Citizens Help in Flood Relief Efforts,0,sincerity
Employee finds inner peace after accidentally sending blank email,1,relaxation
Citizens express fear as protests turn violent,0,fear
Political Instability Threatens Democratic Institutions Worldwide,0,fear
"Oh Great, Another Oil Spill: Nature's Just Thrilled",1,concern
Youth start public speaking club,0,empowerment
Actors mic picks up whispered oops on stage,0,embarrassment
families of missing flight passengers just hoping media gets closure it needs,1,humor
Pompous Experts Overlook Basic Realities,0,contempt
Learned new dance routine perfectly,0,excitement
Because More Tech 'Empowers' Us to Waste Time Online,1,empowerment
"Just what we needed, volunteers join forces for education reform drives.",1,solidarity
School Centennial Event Filled with Alumni Reminiscence,0,nostalgia
Friend shared secretthey trusted me,0,love
Residents break barricades demanding clean water,0,anger
"Site Poisons River, Pays $50 Fine",0,disapproval
Zither Player Composes Melodies,0,admiration
Religious Groups Promote Interfaith Harmony,0,solidarity
"Oh great, citizens stand together for education reform.",1,solidarity
Residents enjoy first festival with no agenda,0,relaxation
Thrilled for weekend hiking trip,0,anticipation
"Wowspent years proving I was right, forgot to be kind",1,reflection
Partner sent surprise flowersheart full,0,love
CEOs ironic take charge today memo inspires staff,1,empowerment
Thrilled for upcoming art competition,0,anticipation
Peaceful Harmony in Social Media 'Drama' Feeds,1,relaxation
"Just what we needed, volunteers raise awareness about education reform.",1,solidarity
Sports mascot costume head falls off during event,0,embarrassment
"Great, unexpected software glitch mid-report",1,anticipation
Teachers come together for healthcare access.,0,solidarity
Garden festival encourages walking slowly nowhere,0,relaxation
Researchers Examine Economic Trends,0,neutral
Votes Being Tampered: Democracy's Thrill Ride,1,concern
Temporary tax hike enters middle school,1,contempt
"Sensational, Coral Reefs Dying Off Rapidly",1,concern
Fans mildly ecstatic at dramatic performance,1,intensity
"Festival Lineup Unveiled, Crowds Gear Up for Fun",0,anticipation
Instructors Boost Confidence in Learners,0,hope
Residents revisit timeworn cobblestone streets with fond memories,0,nostalgia
Blind Dates Disaster: Adventurous Love Hunting,1,love
"Artists Part Ways Dramatically, Canvas Cries",1,drama
Water scarcity threatens rural communities,0,somber irony
Reforestation Projects Plant Millions of Trees Worldwide,0,hope
shadow government getting too large to meet in marriott conference room b,1,humor
Worldwide Alliances Combat Human Trafficking,0,activism
Town Plans Annual Street Fair for Next Month,0,neutral
Village enjoys quiet evening festival,0,relaxation
Residents express fear after chemical plant explosion,0,fear
"Fantastic, love-themed games trending online",1,love
Therapist Writes Book on Healing with Vulnerable Insights,0,sincerity
Partner gave surprise hug,0,love
Furious parents tear posters after school scandal,0,anger
Excited for first solo camping adventure,0,anticipation
"Shelter's ""Unadoptable"" Dog Ages Out",0,sadness
Officials announce committee to study old committee,0,contempt
Team holds humorous own your mistakes seminar,1,empowerment
"Fantastic, more love-themed YouTube videos",1,love
Wildlife Advocates Rage at Poaching Increase,0,anger
Reached coding bootcamp milestone,0,excitement
"Library Cancels Storytime, Parents and Kids Upset",0,sadness
Discoveries in Medicine Herald New Era of Health,0,hope
Love that tension between calm voice and panic tone,1,fear
"Old Shipwreck Discovered, What Treasures Await?",0,curiosity
Won first prize in photography contest,0,excitement
"Fantastic, hospitals running out of oxygenso fun",1,somber irony
Community commemorates 80 years of neighborhood unity,0,nostalgia
Grandma's Recipes Always Tasted Like Cardboard,1,nostalgia
Who knew losing could teach more than winning,1,reflection
Tech Giant Releases Phone That Charges Itself by User Frustration,1,humor
Citys new statue unveiled facing wrong direction,0,embarrassment
Seed Catalog Shows Unknown Flower,0,curiosity
"Cheers, Disclosing Whats Known",1,activism
"Vigils End Wars, Candles Scare Tanks",1,activism
Mild Sadness Ensues as Billionaire 'Loses' a Few Million,1,sadness
Wine Tasting Event Savors Flavors and Company,0,joy
Map Updates Itself with New Roads,0,curiosity
"Judge Biased, Scores Skew",1,drama
Teen Hosts Online Art Exhibition for Charity,0,sincerity
"CEO holds playful empowerment day, staff take over projects",1,empowerment
Students Stage Sit-In Against Campus Discrimination,0,activism
Veterans Charity Supports Wounded Soldiers,0,admiration
"Library Has Books, Knowledge Abounds",1,neutral
Teachers Ponder Student Transformations Over School Years,0,reflection
Peace grows when judgment fades,0,reflection
"Legendary, Restoring Forests Perfectly",1,hope
Company Monitors Employee Bathrooms,0,disapproval
Volcanologist Monitors Active Sites,0,admiration
First solo road trip completed,0,excitement
"Lost Wedding Ring Found After 20 Years, Couple Overjoyed",0,joy
Astronomers capture black hole eating star in real time,0,surprise
Teachers lend a hand in social equality.,0,solidarity
"Wonderful News, Designing Readiness Perfectly",1,hope
"Prime, Leading Obstacles Easily",1,hope
"You cant rewrite the past, only learn from it",0,reflection
Incredible! Healthy snack contains more sugar than cake,1,surprise
Perfect! Officials blame the rain again for collapsing bridges,1,anger
report: getting massages at airports apparently part of certain people's lives,1,humor
"Storm surge devastates coastal towns, emergency response underway",0,intensity
"Baby Otter Learns to Swim, Splashes Mom",0,joy
Air Quality Deteriorates in Industrial Cities,0,concern
Played favorite song flawlessly on guitar,0,excitement
"Local restaurant advertises grand reopening, still closed",1,embarrassment
Couples enjoy lazy river ride at weekend festival,0,relaxation
Lost Cat Found in Neighbors Tree,0,joy
"Man Reinvents Wheel, Wonders Why No One Cares",1,curiosity
Construction Firm Completes Bridge Project,0,neutral
"Town Bans Sneakers, Calls It a Bold Move",1,anger
"Cyclone kinda scary, authorities panic",1,intensity
"Scientist Says Cats Run Economy, Absurd Claim",1,disapproval
Residents organize community volunteer drive,0,empowerment
"Amazing, air quality declinesso dramatic",1,somber irony
"Earthquake aftershocks rattle city, panic spreads",0,intensity
Furious residents chase officials for ignoring complaints,0,anger
Blind Leading Blind in Sight Restoration Clinic,1,somber irony
Health experts caution against new airborne infection risk,0,fear
Meteorologists say storm system could intensify into cyclone,0,fear
Leaders Engage in Reflection Over Past Policy Failures,0,reflection
Typewriters Click Back into Favor for Authors,0,nostalgia
Looking forward to partners anniversary surprise,0,anticipation
City installs replica of original town square fountain,0,nostalgia
"Just what we needed, neighbors unite for social equality.",1,solidarity
Tools 'Enhance' Productivity by Distracting You,1,empowerment
"Another ""Eco"" Jet for Billionaire",1,disapproval
"Parents Helicopter Perfectly, No Harm Done",1,contempt
Shocking Injustice: Billionaires 'Suffer' Minor Tax Hikes,1,activism
Plantations Deliver Healthy Eats to Deprived Zones,0,hope
"Another Tycoon Dodges Jail, Again",1,disapproval
"Fantastic, unexpected deadline extensionso thrilling",1,anticipation
Movie Night Premiere Sparks Applause and Cheers,0,joy
Locals relive youth through 90s-themed street festival,0,nostalgia
Town Builds Worlds Largest Rubber Chicken Statue,0,humor
Crop Circles Appear Overnight in Cornfield,0,curiosity
Women in town launch empowerment coaching sessions,0,empowerment
Tourists nap under old oak trees in countryside,0,relaxation
Campus Adds Cameras in Every Dorm,0,disapproval
Librarian Announces Wrong Event Over Speaker,0,embarrassment
Street Magician Guesses Card Correctly,0,joy
"Reenactment Real, Swords Dull",1,drama
City restores iconic cinema sign from the 1940s,0,nostalgia
"Great, more cheesy couple selfies",1,love
Employee recognized for calming workplace tension,0,drama
Tourists wander countryside without itinerary,0,relaxation
City Donates Computers to Schools,0,sincerity
"Office implements humorous leadership day, staff excel",1,empowerment
"Government Declares Air Guitar Epic, Stunning",1,intensity
"Bravo, Conductors Off-Beat Always",1,admiration
"City Rejects Bike Lanes, Cyclists Denounce Decision",0,disapproval
Community Loses Longtime Doctor to Retirement,0,sadness
Doctors report increase in stress-related heart problems,0,fear
Abandoned House Lights Turn On by Themselves,0,curiosity
Baby Boom Predictions Rise with Maternity Trends,0,anticipation
"Housing Bubble Bursts, Cardboard Homes Trendy",1,fear
"Water Wars Loom in Arid Regions, Tensions Rise",0,concern
"Laundry Pile Grows, Folding Olympics Begin",1,anticipation
Surprise party organized by friends,0,excitement
Clinic Rejects Patient for Pre-Existing Life,0,disapproval
Pandemic resurges in several regions,0,somber irony
RNA Surprise: Snow Melts in Sun,1,surprise
Ward Turns Away Dying Veteran,0,disapproval
Divers find sunken ship filled with ancient artifacts,0,surprise
"Dancers Break Stereotypes, Empowering Body Positivity Movements",0,empowerment
Old cathedral bells ring again after years of silence,0,nostalgia
"Fantastic, rain started mid-walk, heart racing",1,excitement
"New tea blend promises peace, tastes like nap",0,relaxation
"Team Scores Last-Second Goal, Fans Explode in Joy",0,joy
"Oh yes, rising crime rates excite citizens",1,somber irony
Local Band Fearlessly Performs With Broken Instruments,1,sincerity
Photographers Reflect on Shots That Froze Time Eternally,0,reflection
Baby Blanket Outgrown and Folded Away,1,sadness
"Oh joy, traffic jam on way to workpeak excitement",1,anticipation
"Stress-free app crashes, everyone relaxes",1,relaxation
"Town Builds Statue for Lost Buttons, Epic",1,intensity
"Oh yes, coffee machine brokepeak thrill",1,anticipation
"Towns Oldest Diner Closes, Patrons Share Sorrow",0,sadness
City holds concert honoring traditional folk instruments,0,nostalgia
Startups Collapse Leaves Investors Reeling,0,drama
"Baristas Smile Warmly, Tips Pour In",1,sincerity
Greatspent half my life waiting for the weekend,1,reflection
Town Plants Flowers Along Main Street,0,neutral
Environmentalists Link Arms to Protect Ancient Forests,0,solidarity
Just saw unexplained lights  guess aliens are next,1,fear
"Musician posts final rehearsal, clearly first take",1,embarrassment
Counting down to online game tournament,0,anticipation
Boss praises meditation app while yelling less,1,relaxation
Officials praise new record for old failures,0,contempt
The mind sees clearly when distractions fade,0,reflection
Quantum Disbelief: Rivers Flow Downhill,1,surprise
trump and china risk sparking dangerous middle east arms race,0,concern
Feverish Eagerness for Monday 'Morning' Traffic Jam,1,anticipation
Orchestra Performs Free Concert in the Park,0,joy
Dog Shelter Heroically Cleans Mess Left by Own Dog,1,sincerity
"WiFi Out During Family Movie Night, Tragic",1,sadness
"Beautiful, Vigils Stopping Conflicts",1,activism
Mental Health Apps 'Fix' You with Ads,1,empowerment
"School Educates Students, Future Secured",1,neutral
"Amazing, couple fighting in publicpeak excitement",1,drama
Citizens torch effigies of leaders after policy failure,0,anger
CEO explains layoffs are great opportunity for growth,1,contempt
"Farmers Epic Fight Against Corporation, Yawn",1,drama
"Amazing, more software errors today",1,anticipation
Tech Giant Pays Zero Taxes This Year,0,disapproval
Speed Limit Sign Crashed Into by Reckless Driver,0,somber irony
Cooking Class Shares Delicious Meals and New Friendships,0,joy
"Sure, Campaigning for Streets Like Potholes Vanish",1,activism
Comic Con Costumes: Geek Love on Display,1,love
Siren-Sounding Alarm: Light Rain 'Wets' Plans,1,fear
"Amazing, proposal pranks going viral online",1,love
"Wonderful, Conducting on What They Ignore",1,activism
Reflection turns pain into learning,0,reflection
Travel Expo Builds Vacation Anticipation Among Visitors,0,excitement
clinton assures tim kaine she'll continue serving as president in event of her death,1,humor
Local Teams Thrilling Overtime Win Ignites Fans,0,intensity
Sales Data Indicates Consumer Spending Patterns,0,neutral
Feverish Anticipation for Monday 'Morning' Blues,1,excitement
Runners confident start ends with untied shoe,1,embarrassment
Olympics Bid Win Ignites National Anticipation,0,excitement
Habitats Flourish with Biodiversity Boosts,0,hope
Citizens come together for disaster relief.,0,solidarity
Green investment funds new oil rig,0,contempt
Locals greet sunrise with quiet gratitude and coffee,0,relaxation
"Chief Buys Tank for ""Peacekeeping""",0,disapproval
Volunteers educate students on community safety.,0,solidarity
"Towns Historic Fountain Breaks, Residents Mourn",0,sadness
Security alert issued after suspicious package found in station,0,fear
Hospitals face shortage of essential supplies,0,somber irony
Employee posts ironic how to lead at work guide,1,empowerment
Nations Join Forces in Historic Climate Agreement Summit,0,solidarity
"Activists Passionate Truly, Hashtags Change World",1,sincerity
Local Theater Group Rehearses for Fall Play,0,neutral
Solar Eclipse Party with Themed Snacks,0,joy
Teen Generously Gives Out Empty Bags During Drive,1,sincerity
Surprise Snow Day Extends Weekend,0,joy
"Another ""Pure"" Water Bottled in Waste",1,disapproval
"Noble, Tree Experts Cutting Down",1,admiration
"Survey Conducted, Results Ignored",1,neutral
"Outstanding, Permafrost Melting Unchecked",1,concern
Guess I finally understand patience: its waiting forever,1,reflection
Coalitions Address Worldwide Nutrition Needs,0,hope
Government Declares Air Guitar an Olympic Sport,1,humor
Childhood Pet's Bowl Still Full,0,sadness
Firefighters rescue man trapped under fallen billboard,0,surprise
Grandparents Teach Grandkids Card Tricks,0,joy
Volunteers stand up for social equality.,0,solidarity
Some answers dont come in words,0,reflection
First hot air balloon ride,0,excitement
"Hidden Door in House Leads to Another Room, Wow",1,curiosity
Officials declare high alert after train derailment,0,fear
cooking off the cuff: a simple sicilian way with swordfish - with a light sauce as equal partner,0,neutral
Storm Chasers Confront Massive Tornado,0,intensity
Families relive the excitement of vintage carnivals,0,nostalgia
"Crafting Gifts Lovely, Glue Sticks Poorly",1,joy
"Amazing, now even the weathers sending warning texts",1,fear
Retail Sales Figures Show Modest Increase,0,neutral
"Manager hosts ironic own your ideas seminar, interns shine",1,empowerment
Because nothing says solidarity like neighbors raise awareness for disaster relief.,1,solidarity
